Year,Country,Matches,AveGoalsFor,AveGoalsAgainst,HomeMatches,HomeAveGoalsFor,HomeAveGoalsAgainst,AwayMatches,AwayAveGoalsFor,AwayAveGoalsAgainst,Host,ChampCount,Champion
2008,France,3.0,0.3333333333333333,2.0,1.0,0.0,2.0,2.0,0.5,2.0,false,3.0,false
2008,Germany,6.0,1.6666666666666667,1.1666666666666667,3.0,1.6666666666666667,1.0,3.0,1.6666666666666667,1.3333333333333333,false,1.0,false
2008,Greece,3.0,0.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,false,0.0,false
2008,Italy,4.0,0.75,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,false,1.0,false
2008,Netherlands,4.0,2.5,1.0,4.0,2.5,1.0,0.0,0.0,0.0,false,1.0,false
2008,Poland,3.0,0.3333333333333333,1.3333333333333333,1.0,0.0,1.0,2.0,0.5,1.5,false,0.0,false
2008,Portugal,4.0,1.75,1.5,2.0,2.0,1.5,2.0,1.5,1.5,false,0.0,false
2008,Romania,3.0,0.3333333333333333,1.0,1.0,0.0,0.0,2.0,0.5,1.5,false,0.0,false
2008,Russia,5.0,1.4,1.6,2.0,1.0,1.5,3.0,1.6666666666666667,1.6666666666666667,false,0.0,false
2008,Spain,6.0,2.0,0.5,2.0,2.0,0.5,4.0,2.0,0.5,false,1.0,true
2008,Sweden,3.0,1.0,1.3333333333333333,1.0,1.0,2.0,2.0,1.0,1.0,false,0.0,false
2008,Switzerland,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,true,0.0,false
2008,Turkey,5.0,1.6,1.8,1.0,3.0,2.0,4.0,1.25,1.75,false,0.0,false
2012,Croatia,3.0,1.3333333333333333,1.0,1.0,0.0,1.0,2.0,2.0,1.0,false,0.0,false
2012,Czech Republic,4.0,1.0,1.5,2.0,0.5,0.5,2.0,1.5,2.5,false,0.0,false
2012,Denmark,3.0,1.3333333333333333,1.6666666666666667,2.0,1.5,2.5,1.0,1.0,0.0,false,1.0,false
2012,England,4.0,1.25,0.75,2.0,0.5,0.0,2.0,2.0,1.5,false,0.0,false
2012,France,4.0,0.75,1.25,1.0,1.0,1.0,3.0,0.6666666666666666,1.3333333333333333,false,3.0,false
2012,Germany,5.0,2.0,1.2,3.0,2.0,1.3333333333333333,2.0,2.0,1.0,false,1.0,false
2012,Greece,4.0,1.25,1.75,2.0,1.0,1.0,2.0,1.5,2.5,false,0.0,false
2012,Italy,6.0,1.0,1.1666666666666667,2.0,1.5,0.5,4.0,0.75,1.5,false,1.0,false
2012,Netherlands,3.0,0.6666666666666666,1.6666666666666667,2.0,0.5,1.5,1.0,1.0,2.0,false,1.0,false
2012,Poland,3.0,0.6666666666666666,1.0,2.0,1.0,1.0,1.0,0.0,1.0,true,0.0,false
2012,Portugal,5.0,1.2,0.8,2.0,1.0,0.5,3.0,1.3333333333333333,1.0,false,0.0,false
2012,Republic of Ireland,3.0,0.3333333333333333,3.0,1.0,1.0,3.0,2.0,0.0,3.0,false,0.0,false
2012,Russia,3.0,1.6666666666666667,1.0,1.0,4.0,1.0,2.0,0.5,1.0,false,0.0,false
